"Marché_National_Produit";"Catégorie_Produit";"Type_Produit";"Code_Référence";"Date_Dernière_Mise_A_Jour_Du_Dossier";"Nom_Marque_Produit";"Nom_Sous-type_Marque_Produit";"Filtre_Produit";"Unités_Conditionnement_Produit";"Poids_NET_Conditionnement_Produit";"Type_Conditionnement_Produit";"Type_Numéro_Produit";"Numéro_Produit";"Date_Notification";"Date_Lancement_Produit";"Longueur_Produit";"Diamètre_Produit";"Poids_Produit";"Poids_Tabac_Produit";"Longueur_Filtre_Produit";"Teneur_Totale_Nicotine_Tabac_Rouler_Pipe";"Teneur_Nicotine_Base_Tabac_Rouler_Pipe";"Teneur_Nicotine_Sans_Combusion";"Teneur_Nicotine_Base_Sans_Combusion";"pH_Sans_Combusion";"Humidité_Sans_Combustion"
"FR";"Produit du tabac";"Cigare";"A FLORES GRAN RESERVA COROJO HALF CORONA [01BEFB0E5378DB2A]";27/9/2019 17:06:00;"A Flores";"Gran Reserva Corojo Half Corona";"sans filtre";5.00;;"Boîte en métal parallélépipédique";"-";"AF-GRC-HC-5";12/1/2018 10:52:30;10/3/2015 00:00:00;88.90;18.25;8000.00;7999.20;;;;;;;
"FR";"Produit du tabac";"Cigare";"A FLORES SERIE PRIVADA HABANO SP54 [07812214F5D7CE44]";27/9/2019 17:06:00;"A Flores";"Serie Privada Habano SP54";"sans filtre";24.00;;"Boîte pliante à couvercle basculant";"-";"AF-SPH-24";14/1/2018 01:40:07;1/7/2016 00:00:00;127.00;20.63;14000.00;13998.60;;;;;;;
"FR";"Produit du tabac";"Cigare";"ALEC BRADLEY BLACK MARKET GORDO [FE6E88F01187510E]";30/4/2020 18:06:00;"Alec Bradley";"Black Market Gordo";"sans filtre";22.00;;"Boîte à couvercle basculant";"UPC";"81533701001878";2/11/2016 21:27:12;14/4/2014 00:00:00;152.40;23.80;25248.00;25245.47;;;;;;;
"FR";"Produit du tabac";"Cigare";"ALEC BRADLEY BLACK MARKET ROBUSTO [A7F95296C56767C4]";30/4/2020 18:03:00;"Alec Bradley";"Black Market Robusto";"sans filtre";22.00;;"Boîte à couvercle basculant";"UPC";"81533701001830";8/11/2016 19:23:59;13/4/2014 00:00:00;133.40;20.60;16066.00;16064.39;;;;;;;
"FR";"Produit du tabac";"Cigare";"ALEC BRADLEY BLACK MARKET TORPEDO [FF2840441A567B28]";30/4/2020 18:03:00;"Alec Bradley";"Black Market Torpedo";"sans filtre";22.00;;"Boîte à couvercle basculant";"UPC";"81533701001861";16/11/2016 17:48:01;13/4/2014 00:00:00;155.60;21.40;19510.00;19508.04;;;;;;;
"FR";"Produit du tabac";"Cigare";"ALEC BRADLEY PRENSADO DOUBLE T [D8124BF9496B7F9D]";30/4/2020 18:03:00;"Alec Bradley";"Prensado Double T";"sans filtre";20.00;;"Boîte à couvercle basculant";"UPC";"81533701001946";18/11/2016 22:39:05;1/9/2014 00:00:00;152.40;24.60;24346.00;24343.56;;;;;;;
"FR";"Produit du tabac";"Cigare";"ALEC BRADLEY PRENSADO ROBUSTO [3A013C9981AC8AD8]";30/4/2020 18:03:00;"Alec Bradley";"Prensado Robusto";"sans filtre";20.00;;"Boîte à couvercle basculant";"UPC";"81533701000215";18/11/2016 22:39:05;2/9/2014 00:00:00;127.00;19.80;12456.00;12454.75;;;;;;;
"FR";"Produit du tabac";"Cigare";"ALEC BRADLEY TEMPUS NATURAL MAGNUS [EBB517F724DC50D7]";30/4/2020 23:42:00;"Alec Bradley";"Tempus Natural Magnus";"sans filtre";20.00;;"Boîte à couvercle basculant";"UPC";"81533701000079";30/3/2018 18:09:40;16/4/2018 00:00:00;152.40;23.00;22648.00;22645.73;;;;;;;
"FR";"Produit du tabac";"Cigare";"ALEC BRADLEY TEMPUS NATURAL TERRA NOVO [5DE03C3084F8446E]";30/4/2020 23:42:00;"Alec Bradley";"Tempus Natural Terra Novo";"sans filtre";20.00;;"Boîte à couvercle basculant";"UPC";"81533701000017";21/11/2016 02:57:36;19/11/2016 00:00:00;127.00;19.80;13588.00;13586.64;;;;;;;
"FR";"Produit du tabac";"Cigare";"ANTICO TOSCANO  [9148609498FE8B7C]";7/8/2020 10:39:00;"ANTICO TOSCANO";;"sans filtre";5.00;;"Boîte en carton";"-";"413";22/6/2016 12:30:21;1/1/2015 00:00:00;153.00;14.50;8500.00;8460.00;"0";;;;;;
