"Marché_National_Produit";"Catégorie_Produit";"Type_Produit";"Code_Référence";"Date_Dernière_Mise_A_Jour_Du_Dossier";"Nom_Marque_Produit";"Nom_Sous-type_Marque_Produit";"Filtre_Produit";"Unités_Conditionnement_Produit";"Type_Conditionnement_Produit";"Type_Numéro_Produit";"Numéro_Produit";"Date_Notification";"Date_Lancement_Produit";"Longueur_Produit";"Diamètre_Produit";"Poids_Produit";"Poids_Tabac_Produit";"Longueur_Filtre_Produit";"Ventilation_Filtre_Cigarette";"Baisse_Pression_Filtre_Cigarette_Fermé";"Baisse_Pression_Filtre_Cigarette_Ouvert";"Émission_Goudron";"Émission_Nicotine";"Émission_CO"
"FR";"Produit du tabac";"Cigarette";"1637 ORIGINE [4A27B949A67924C5]";30/3/2020 11:27:00;"1637";"Origine";"filtre";20.00;"Boîte à couvercle supérieur rabattable, bord droit";"EAN";"3258170830010";5/9/2019 08:14:38;9/9/2019 00:00:00;84.00;7.83;830.00;580.00;27.00;15.00;135.00;120.00;8.23;0.56;9.92
"FR";"Produit du tabac";"Cigarette";"ALLUVE TABAC [1367F5A992C53FEB]";17/2/2020 13:35:00;"Alluvé";"tabac";"filtre";40.00;"Boîte à couvercle supérieur rabattable, bord droit";"GTIN";"00000042400301";19/11/2016 22:51:53;28/8/2019 00:00:00;100.00;5.40;580.00;420.00;30.00;30.00;210.00;140.00;6.00;0.70;5.00
"FR";"Produit du tabac";"Cigarette";"ALLUVE WHITE [A054873D961B1747]";17/2/2020 13:45:00;"Alluvé";"white";"filtre";40.00;"Boîte à couvercle supérieur rabattable, bord droit";"GTIN";"00000042400295";19/11/2016 22:51:54;29/8/2019 00:00:00;100.00;5.40;560.00;400.00;30.00;65.00;270.00;120.00;3.00;0.30;2.00
"FR";"Produit du tabac";"Cigarette";"AMERICAN SPIRIT BLUE  [503D224D76C2C4B9]";3/4/2020 13:31:00;"American Spirit Blue";;"filtre";20.00;"Boîte à couvercle supérieur rabattable, bord droit";"SKU";"14437411";23/7/2018 12:01:07;3/4/2020 00:00:00;83.00;7.79;994.00;780.00;21.00;47.00;165.00;110.00;9.00;0.90;8.00
"FR";"Produit du tabac";"Cigarette";"AMERICAN SPIRIT BLUE  [7C31D33B3945D4AF]";3/4/2020 13:31:00;"American Spirit Blue";;"filtre";20.00;"Boîte à couvercle supérieur rabattable, bord droit";"SKU";"14245588";23/7/2018 12:01:07;24/7/2018 00:00:00;83.00;7.79;994.00;780.00;21.00;47.00;165.00;110.00;9.00;0.90;8.00
"FR";"Produit du tabac";"Cigarette";"AMERICAN SPIRIT BLUE  [829605CA13B9DF30]";25/3/2020 12:56:00;"American Spirit Blue";;"filtre";20.00;"Boîte à couvercle supérieur rabattable, bord droit";"SKU";"13894486";1/2/2017 08:24:18;10/1/2017 00:00:00;84.00;7.80;1005.00;790.00;21.00;40.00;165.00;120.00;9.00;1.00;9.00
"FR";"Produit du tabac";"Cigarette";"AMERICAN SPIRIT BLUE  [CAA751F7538E762D]";25/3/2020 12:57:00;"American Spirit Blue";;"filtre";20.00;"Boîte à couvercle supérieur rabattable, bord droit";"SKU";"14173876";5/4/2018 18:08:51;6/4/2018 00:00:00;84.00;7.80;1005.00;790.00;21.00;40.00;165.00;120.00;9.00;1.00;9.00
"FR";"Produit du tabac";"Cigarette";"AMERICAN SPIRIT YELLOW  [12D38CF7D3724FA3]";3/4/2020 13:32:00;"American Spirit Yellow";;"filtre";20.00;"Boîte à couvercle supérieur rabattable, bord droit";"SKU";"14437408";20/7/2018 10:56:27;3/4/2020 00:00:00;83.00;7.79;942.00;690.00;27.00;60.00;165.00;95.00;5.00;0.50;5.00
"FR";"Produit du tabac";"Cigarette";"AMERICAN SPIRIT YELLOW  [4A6A80E33023DB46]";25/3/2020 12:56:00;"American Spirit Yellow";;"filtre";20.00;"Boîte à couvercle supérieur rabattable, bord droit";"SKU";"13894306";1/2/2017 08:24:09;10/1/2017 00:00:00;84.00;7.80;953.00;700.00;27.00;54.00;165.00;100.00;5.00;0.60;6.00
"FR";"Produit du tabac";"Cigarette";"AMERICAN SPIRIT YELLOW  [6A56344FDF809F84]";3/4/2020 13:32:00;"American Spirit Yellow";;"filtre";20.00;"Boîte à couvercle supérieur rabattable, bord droit";"SKU";"14245579";20/7/2018 10:56:27;21/7/2018 00:00:00;83.00;7.79;942.00;690.00;27.00;60.00;165.00;95.00;5.00;0.50;5.00
"FR";"Produit du tabac";"Cigarette";"AMERICAN SPIRIT YELLOW  [D2FAEFB2467CEECA]";25/3/2020 12:54:00;"American Spirit Yellow";;"filtre";20.00;"Boîte à couvercle supérieur rabattable, bord droit";"SKU";"14004211";24/5/2017 13:59:58;25/5/2017 00:00:00;84.00;7.80;953.00;700.00;27.00;54.00;165.00;100.00;5.00;0.60;6.00
"FR";"Produit du tabac";"Cigarette";"AUSTIN +  [22022E9640041D5F]";17/9/2020 15:56:00;"AUSTIN +";;"filtre";20.00;"Boîte à couvercle supérieur rabattable, bord droit";"-";"50051874";24/2/2020 15:42:58;1/4/2020 00:00:00;83.00;7.85;1004.00;684.00;27.00;35.00;105.00;85.00;9.00;0.70;8.00
"FR";"Produit du tabac";"Cigarette";"B&H GOLD  [9342514C89C5FB29]";25/3/2020 12:56:00;"B&H Gold";;"filtre";20.00;"Boîte à couvercle supérieur rabattable, bord droit";"SKU";"13895644";8/12/2016 16:52:17;13/1/2017 00:00:00;84.00;7.80;891.00;690.00;21.00;28.00;125.00;95.00;10.00;0.90;10.00
"FR";"Produit du tabac";"Cigarette";"B&H GOLD 100'S  [6F2A12EC70A015D5]";25/3/2020 13:33:00;"B&H Gold 100's";;"filtre";20.00;"Boîte à couvercle supérieur rabattable, bord droit";"SKU";"13898233";22/12/2016 12:15:06;22/12/2016 00:00:00;99.00;7.80;1018.00;780.00;25.00;32.00;130.00;100.00;10.00;0.90;10.00
"FR";"Produit du tabac";"Cigarette";"B&H RED 100'S  [81B0CF90AC74B351]";25/3/2020 12:56:00;"B&H Red 100's";;"filtre";20.00;"Boîte à couvercle supérieur rabattable, bord droit";"SKU";"13895803";22/12/2016 12:15:05;22/12/2016 00:00:00;100.00;7.80;949.00;700.00;27.00;35.00;115.00;85.00;10.00;0.80;10.00
"FR";"Produit du tabac";"Cigarette";"B&H SILVER 20  [960AE6D97ED57CEE]";27/3/2020 08:05:00;"B&H Silver 20";;"filtre";20.00;"Boîte à couvercle supérieur rabattable, bord droit";"SKU";"13894465";2/2/2017 14:41:29;3/2/2017 00:00:00;84.00;7.80;904.00;690.00;21.00;50.00;135.00;90.00;6.00;0.60;6.00
