epci2020,semaine_glissante,clage_65,ti_classe,td_classe,tp_classe
200000172,2020-11-03-2020-11-09,0,[1000;Max],[2500;Max],[30;Max]
200000172,2020-11-03-2020-11-09,65,[500;1000[,[2500;Max],[30;Max]
200000172,2020-11-04-2020-11-10,0,[1000;Max],[2500;Max],[25;30[
200000172,2020-11-04-2020-11-10,65,[500;1000[,[2500;Max],[25;30[
200000172,2020-11-05-2020-11-11,0,[500;1000[,[2500;Max],[30;Max]
200000172,2020-11-05-2020-11-11,65,[500;1000[,[2000;2500[,[30;Max]
200000172,2020-11-06-2020-11-12,0,[500;1000[,[2500;Max],[25;30[
200000172,2020-11-06-2020-11-12,65,[500;1000[,[2500;Max],[25;30[
200000172,2020-11-07-2020-11-13,0,[500;1000[,[2000;2500[,[25;30[
200000172,2020-11-07-2020-11-13,65,[500;1000[,[2500;Max],[25;30[
200000172,2020-11-08-2020-11-14,0,[500;1000[,[2000;2500[,[25;30[
200000172,2020-11-08-2020-11-14,65,[500;1000[,[2500;Max],[25;30[
200000172,2020-11-09-2020-11-15,0,[500;1000[,[2000;2500[,[25;30[
200000172,2020-11-09-2020-11-15,65,[500;1000[,[2500;Max],[25;30[
200000172,2020-11-10-2020-11-16,0,[500;1000[,[2000;2500[,[25;30[
200000172,2020-11-10-2020-11-16,65,[500;1000[,[2500;Max],[20;25[
200000172,2020-11-11-2020-11-17,0,[500;1000[,[1500;2000[,[25;30[
200000172,2020-11-11-2020-11-17,65,[500;1000[,[2500;Max],[20;25[
200000172,2020-11-12-2020-11-18,0,[500;1000[,[2000;2500[,[25;30[
200000172,2020-11-12-2020-11-18,65,[500;1000[,[2500;Max],[20;25[
200000172,2020-11-13-2020-11-19,0,[500;1000[,[1500;2000[,[25;30[
200000172,2020-11-13-2020-11-19,65,[500;1000[,[2000;2500[,[20;25[
200000172,2020-11-14-2020-11-20,0,[250;500[,[1500;2000[,[25;30[
200000172,2020-11-14-2020-11-20,65,[500;1000[,[2000;2500[,[20;25[
200000172,2020-11-15-2020-11-21,0,[500;1000[,[1500;2000[,[25;30[
200000172,2020-11-15-2020-11-21,65,[500;1000[,[2500;Max],[25;30[
200000172,2020-11-16-2020-11-22,0,[500;1000[,[1500;2000[,[25;30[
200000172,2020-11-16-2020-11-22,65,[500;1000[,[2500;Max],[20;25[
