Marché_National_Produit,Catégorie_Produit,Type_Produit,Code_Référence,Date_Dernière_Mise_A_Jour_Du_Dossier,Nom_Marque_Produit,Nom_Sous-type_Marque_Produit,Filtre_Produit,Unités_Conditionnement_Produit,Poids_NET_Conditionnement_Produit,Type_Conditionnement_Produit,Type_Numéro_Produit,Numéro_Produit,Date_Notification,Date_Lancement_Produit,Longueur_Produit,Diamètre_Produit,Poids_Produit,Poids_Tabac_Produit,Longueur_Filtre_Produit,Teneur_Totale_Nicotine_Tabac_Rouler_Pipe,Teneur_Nicotine_Base_Tabac_Rouler_Pipe,Teneur_Nicotine_Sans_Combusion,Teneur_Nicotine_Base_Sans_Combusion,pH_Sans_Combusion,Humidité_Sans_Combustion
FR,Produit du tabac,Cigare,A FLORES GRAN RESERVA COROJO HALF CORONA [01BEFB0E5378DB2A],27/9/2019 17:06:00,A Flores,Gran Reserva Corojo Half Corona,sans filtre,500,NA,Boîte en métal parallélépipédique,-,AF-GRC-HC-5,12/1/2018 10:52:30,10/3/2015 00:00:00,88.9,18.25,800000,7999.20,NA,NA,NA,NA,NA,NA,NA
FR,Produit du tabac,Cigare,A FLORES SERIE PRIVADA HABANO SP54 [07812214F5D7CE44],27/9/2019 17:06:00,A Flores,Serie Privada Habano SP54,sans filtre,2400,NA,Boîte pliante à couvercle basculant,-,AF-SPH-24,14/1/2018 01:40:07,1/7/2016 00:00:00,127,20.63,1400000,13998.60,NA,NA,NA,NA,NA,NA,NA
FR,Produit du tabac,Cigare,ALEC BRADLEY BLACK MARKET GORDO [FE6E88F01187510E],30/4/2020 18:06:00,Alec Bradley,Black Market Gordo,sans filtre,2200,NA,Boîte à couvercle basculant,UPC,81533701001878,2/11/2016 21:27:12,14/4/2014 00:00:00,152.4,23.8,2524800,25245.47,NA,NA,NA,NA,NA,NA,NA
FR,Produit du tabac,Cigare,ALEC BRADLEY BLACK MARKET ROBUSTO [A7F95296C56767C4],30/4/2020 18:03:00,Alec Bradley,Black Market Robusto,sans filtre,2200,NA,Boîte à couvercle basculant,UPC,81533701001830,8/11/2016 19:23:59,13/4/2014 00:00:00,133.4,20.6,1606600,16064.39,NA,NA,NA,NA,NA,NA,NA
FR,Produit du tabac,Cigare,ALEC BRADLEY BLACK MARKET TORPEDO [FF2840441A567B28],30/4/2020 18:03:00,Alec Bradley,Black Market Torpedo,sans filtre,2200,NA,Boîte à couvercle basculant,UPC,81533701001861,16/11/2016 17:48:01,13/4/2014 00:00:00,155.6,21.4,1951000,19508.04,NA,NA,NA,NA,NA,NA,NA
FR,Produit du tabac,Cigare,ALEC BRADLEY PRENSADO DOUBLE T [D8124BF9496B7F9D],30/4/2020 18:03:00,Alec Bradley,Prensado Double T,sans filtre,2000,NA,Boîte à couvercle basculant,UPC,81533701001946,18/11/2016 22:39:05,1/9/2014 00:00:00,152.4,24.6,2434600,24343.56,NA,NA,NA,NA,NA,NA,NA
FR,Produit du tabac,Cigare,ALEC BRADLEY PRENSADO ROBUSTO [3A013C9981AC8AD8],30/4/2020 18:03:00,Alec Bradley,Prensado Robusto,sans filtre,2000,NA,Boîte à couvercle basculant,UPC,81533701000215,18/11/2016 22:39:05,2/9/2014 00:00:00,127,19.8,1245600,12454.75,NA,NA,NA,NA,NA,NA,NA
FR,Produit du tabac,Cigare,ALEC BRADLEY TEMPUS NATURAL MAGNUS [EBB517F724DC50D7],30/4/2020 23:42:00,Alec Bradley,Tempus Natural Magnus,sans filtre,2000,NA,Boîte à couvercle basculant,UPC,81533701000079,30/3/2018 18:09:40,16/4/2018 00:00:00,152.4,23,2264800,22645.73,NA,NA,NA,NA,NA,NA,NA
FR,Produit du tabac,Cigare,ALEC BRADLEY TEMPUS NATURAL TERRA NOVO [5DE03C3084F8446E],30/4/2020 23:42:00,Alec Bradley,Tempus Natural Terra Novo,sans filtre,2000,NA,Boîte à couvercle basculant,UPC,81533701000017,21/11/2016 02:57:36,19/11/2016 00:00:00,127,19.8,1358800,13586.64,NA,NA,NA,NA,NA,NA,NA
FR,Produit du tabac,Cigare,ANTICO TOSCANO  [9148609498FE8B7C],7/8/2020 10:39:00,ANTICO TOSCANO,NA,sans filtre,500,NA,Boîte en carton,-,413,22/6/2016 12:30:21,1/1/2015 00:00:00,153,14.5,850000,8460.00,0,NA,NA,NA,NA,NA,NA
FR,Produit du tabac,Cigare,ARTURO FUENTE CANONES [CAF87DBB6EE9806A],26/2/2020 16:41:00,Arturo Fuente,Cañones,sans filtre,2000,NA,Boîte à couvercle basculant,SKU,AF600,20/3/2017 10:28:45,31/1/2000 00:00:00,216,21,2551400,25496.24,NA,NA,NA,NA,NA,NA,NA
FR,Produit du tabac,Cigare,ARTURO FUENTE CHATEAU FUENTE [692F863FBD382E5A],26/2/2020 16:41:00,Arturo Fuente,Château Fuente,sans filtre,2000,NA,Boîte à couvercle basculant,SKU,AF9001,18/11/2016 11:29:45,31/1/2000 00:00:00,114,20,1247300,12455.24,NA,NA,NA,NA,NA,NA,NA
FR,Produit du tabac,Cigare,ARTURO FUENTE CUBANITOS [882CBDA1B1935740],27/2/2020 12:46:00,Arturo Fuente,Cubanitos,sans filtre,1000,NA,Boîte à couvercle basculant,SKU,AF1027,18/11/2016 11:33:21,19/4/2000 00:00:00,114,13,425400,4236.24,NA,NA,NA,NA,NA,NA,NA
FR,Produit du tabac,Cigare,ARTURO FUENTE DOUBLE CHATEAU FUENTE [1CE12710C9330FB2],27/2/2020 12:46:00,Arturo Fuente,Double Château Fuente,sans filtre,2000,NA,Boîte à couvercle basculant,SKU,AF9002,18/11/2016 11:29:19,31/1/2000 00:00:00,114,20,1190000,11882.24,NA,NA,NA,NA,NA,NA,NA
FR,Produit du tabac,Cigare,ARTURO FUENTE DOUBLE CHATEAU FUENTE [A08756CB8A5930B2],26/2/2020 16:41:00,Arturo Fuente,Double Chateau Fuente,sans filtre,1000,NA,Boîte à couvercle basculant,SKU,AF9012,18/11/2016 11:30:25,11/9/2009 00:00:00,171,20,1814300,18125.24,NA,NA,NA,NA,NA,NA,NA
FR,Produit du tabac,Cigare,ARTURO FUENTE EXQUISITOS MADURO [2244B80D3B6FFD65],26/2/2020 16:41:00,Arturo Fuente,Exquisitos Maduro,sans filtre,5000,NA,Boîte à couvercle basculant,SKU,AF1028M,18/11/2016 11:33:27,19/4/2000 00:00:00,114,13,566900,5651.24,NA,NA,NA,NA,NA,NA,NA
FR,Produit du tabac,Cigare,ARTURO FUENTE N°4 SUNGROWN [85E5A5FD7C868693],26/2/2020 16:56:00,Arturo Fuente,N°4 Sungrown,sans filtre,2500,NA,Boîte à couvercle basculant,SKU,AF0916,18/11/2016 11:30:48,13/5/2005 00:00:00,140,17,907100,9053.24,NA,NA,NA,NA,NA,NA,NA
FR,Produit du tabac,Cigare,ASHTON CLASSIC MAGNUM (ROBUSTO) 25ER  [04964BDCCD06B112],30/12/2019 15:23:00,Ashton Classic Magnum (Robusto) 25er,NA,sans filtre,2500,NA,Boîte à couvercle basculant,-,1500403,17/11/2016 17:51:31,1/1/1989 00:00:00,125,19.5,1304080,13039.46,NA,NA,NA,NA,NA,NA,NA
FR,Produit du tabac,Cigare,ASYLUM 13  [074C92EA026870B5],26/8/2020 21:53:00,Asylum 13,NA,sans filtre,2000,NA,Boîte avec couvercle coulissant,EAN,743400330646,1/12/2016 21:44:13,12/10/2015 00:00:00,117.8,27.78,2270000,22675.00,NA,NA,NA,NA,NA,NA,NA
FR,Produit du tabac,Cigare,ASYLUM 13  [0B3199369D216326],9/7/2020 21:26:00,Asylum 13,NA,sans filtre,2000,NA,Fagot,EAN,7434003300080,29/11/2016 21:39:10,2/2/2017 00:00:00,152.4,31.75,2720000,27170.00,NA,NA,NA,NA,NA,NA,NA
FR,Produit du tabac,Cigare,ASYLUM 13  [2E95764742BE768C],26/8/2020 21:53:00,Asylum 13,NA,sans filtre,2100,NA,Boîte avec couvercle coulissant,EAN,7434003300752,29/11/2016 21:39:10,26/6/2016 00:00:00,203.2,31.75,6350000,63430.00,NA,NA,NA,NA,NA,NA,NA
FR,Produit du tabac,Cigare,ASYLUM 13  [651D62A9D327FD15],28/4/2020 19:38:00,Asylum 13,NA,sans filtre,2000,NA,Boîte avec couvercle coulissant,SKU,A1369,27/3/2018 17:45:53,4/1/2018 00:00:00,101.6,27.78,1963000,19630.00,NA,NA,NA,NA,NA,NA,NA
FR,Produit du tabac,Cigare,ASYLUM 13  [8FBA9549E80F10F2],26/8/2020 21:53:00,Asylum 13,NA,sans filtre,2000,NA,Boîte avec couvercle coulissant,EAN,7434003300103,29/11/2016 02:25:44,12/10/2015 00:00:00,127,19.84,1810000,18080.00,NA,NA,NA,NA,NA,NA,NA
